SEASON,TEAM_ID,TEAM_NAME,GP,W,L,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,TOV,OFF_RATING,DEF_RATING,NET_RATING,PACE,EFG_PCT,TS_PCT
2016-17,1610612759,San Antonio Spurs,82,61,21,105.3,39.3,83.7,0.469,9.2,23.5,0.391,17.6,22.0,13.4,110.3,102.9,7.4,94.86,0.524,0.564
2016-17,1610612761,Toronto Raptors,82,51,31,106.9,39.2,84.4,0.464,8.8,24.3,0.363,19.7,24.7,12.7,111.4,107.1,4.3,95.41,0.517,0.561
2016-17,1610612762,Utah Jazz,82,51,31,100.7,37.0,79.5,0.466,9.6,26.0,0.372,17.1,22.9,13.6,109.0,104.7,4.3,92.09,0.526,0.563
2016-17,1610612764,Washington Wizards,82,49,33,109.2,41.3,87.0,0.475,9.2,24.8,0.372,17.3,22.1,14.2,110.4,108.8,1.7,97.94,0.528,0.564
2017-18,1610612737,Atlanta Hawks,82,24,58,103.4,38.2,85.5,0.446,11.2,31.0,0.36,15.8,20.2,15.5,104.4,110.1,-5.7,98.76,0.512,0.547
2017-18,1610612738,Boston Celtics,82,55,27,104.0,38.3,85.1,0.45,11.5,30.4,0.377,16.0,20.7,14.0,106.8,103.2,3.6,96.75,0.518,0.552
2017-18,1610612751,Brooklyn Nets,82,28,54,106.6,38.2,86.8,0.441,12.7,35.7,0.356,17.4,22.6,15.2,106.1,109.7,-3.6,99.66,0.514,0.551
2017-18,1610612766,Charlotte Hornets,82,36,46,108.2,39.0,86.7,0.45,10.0,27.2,0.369,20.2,27.0,12.7,109.0,109.0,-0.1,98.66,0.508,0.549
2017-18,1610612741,Chicago Bulls,82,27,55,102.9,38.7,88.8,0.435,11.0,31.1,0.355,14.6,19.2,14.0,103.4,110.5,-7.0,98.65,0.497,0.529
2017-18,1610612739,Cleveland Cavaliers,82,50,32,110.9,40.4,84.8,0.476,12.0,32.1,0.372,18.1,23.3,13.7,112.0,111.1,1.0,98.72,0.547,0.584
2017-18,1610612742,Dallas Mavericks,82,24,58,102.3,38.1,85.9,0.444,11.8,32.8,0.36,14.2,18.7,12.3,105.4,108.4,-2.9,96.53,0.513,0.544
2017-18,1610612743,Denver Nuggets,82,46,36,110.0,40.7,86.6,0.47,11.5,30.9,0.371,17.1,22.3,15.0,111.4,110.0,1.4,97.69,0.536,0.57
